ID,Name,Role,Password,FirstLogin
A101,William Green,Administrator,c9218fb0f2bb01afff1f79786391a16fcffd1fca9a428a11a96bcd328cb3a832,false
A111,Tracy Lewis,Administrator,113459eb7bb31bddee85ade5230d6ad5d8b2fb52879e00a84ff6ae1067a210d3,true
A120,Daniel Cruz,Administrator,113459eb7bb31bddee85ade5230d6ad5d8b2fb52879e00a84ff6ae1067a210d3,true
A113,Terry Conner,Administrator,113459eb7bb31bddee85ade5230d6ad5d8b2fb52879e00a84ff6ae1067a210d3,true
A115,Jacob Smith,Administrator,113459eb7bb31bddee85ade5230d6ad5d8b2fb52879e00a84ff6ae1067a210d3,true
A116,Timothy Williams,Administrator,113459eb7bb31bddee85ade5230d6ad5d8b2fb52879e00a84ff6ae1067a210d3,true
D107,Brandon Marshall,Doctor,113459eb7bb31bddee85ade5230d6ad5d8b2fb52879e00a84ff6ae1067a210d3,true
D112,Tiffany Watkins DDS,Doctor,113459eb7bb31bddee85ade5230d6ad5d8b2fb52879e00a84ff6ae1067a210d3,true
D118,Helen Hubbard,Doctor,113459eb7bb31bddee85ade5230d6ad5d8b2fb52879e00a84ff6ae1067a210d3,true
D119,Catherine Holland,Doctor,113459eb7bb31bddee85ade5230d6ad5d8b2fb52879e00a84ff6ae1067a210d3,true
D109,Todd Travis,Doctor,113459eb7bb31bddee85ade5230d6ad5d8b2fb52879e00a84ff6ae1067a210d3,true
D117,John Tran,Doctor,113459eb7bb31bddee85ade5230d6ad5d8b2fb52879e00a84ff6ae1067a210d3,true
P102,Maureen Robles,Pharmacist,113459eb7bb31bddee85ade5230d6ad5d8b2fb52879e00a84ff6ae1067a210d3,true
P104,Theresa Wilson,Pharmacist,113459eb7bb31bddee85ade5230d6ad5d8b2fb52879e00a84ff6ae1067a210d3,true
P114,Elizabeth Holmes,Pharmacist,113459eb7bb31bddee85ade5230d6ad5d8b2fb52879e00a84ff6ae1067a210d3,true
P103,Gregory Dennis,Pharmacist,113459eb7bb31bddee85ade5230d6ad5d8b2fb52879e00a84ff6ae1067a210d3,true
P105,Matthew Graham,Pharmacist,113459eb7bb31bddee85ade5230d6ad5d8b2fb52879e00a84ff6ae1067a210d3,true
P106,Stephanie White,Pharmacist,113459eb7bb31bddee85ade5230d6ad5d8b2fb52879e00a84ff6ae1067a210d3,true
P108,Benjamin Hernandez,Pharmacist,113459eb7bb31bddee85ade5230d6ad5d8b2fb52879e00a84ff6ae1067a210d3,true
P110,Jeff Malone,Pharmacist,113459eb7bb31bddee85ade5230d6ad5d8b2fb52879e00a84ff6ae1067a210d3,true
P111,Jeff Malone,Pharmacist,113459eb7bb31bddee85ade5230d6ad5d8b2fb52879e00a84ff6ae1067a210d3,true
